x,y,u,v,p
0.0,0.0,0.0,0.0,5.50377e-06
0.0025,0.0,0.0,0.0,-0.00058835314
0.005,0.0,0.0,0.0,-0.002547735
0.0075,0.0,0.0,0.0,-0.005750835
0.01,0.0,0.0,0.0,-0.009561555
0.0125,0.0,0.0,0.0,-0.0133955
0.015,0.0,0.0,0.0,-0.0168258
0.0175,0.0,0.0,0.0,-0.0195473
0.02,0.0,0.0,0.0,-0.02135
0.0225,0.0,0.0,0.0,-0.02210025
0.025,0.0,0.0,0.0,-0.0217253
0.0275,0.0,0.0,0.0,-0.02020135
0.03,0.0,0.0,0.0,-0.0175442
0.0325,0.0,0.0,0.0,-0.01380205
0.035,0.0,0.0,0.0,-0.00905004
0.0375,0.0,0.0,0.0,-0.003385695
0.04,0.0,0.0,0.0,0.00307461
0.0425,0.0,0.0,0.0,0.010198665
0.045,0.0,0.0,0.0,0.01784105
0.0475,0.0,0.0,0.0,0.0258456
0.05,0.0,0.0,0.0,0.0340477
0.0525,0.0,0.0,0.0,0.04227695
0.055,0.0,0.0,0.0,0.05035975
0.0575,0.0,0.0,0.0,0.0581224
0.06,0.0,0.0,0.0,0.06539465
0.0625,0.0,0.0,0.0,0.0720133
0.065,0.0,0.0,0.0,0.0778267
0.0675,0.0,0.0,0.0,0.0826995
0.07,0.0,0.0,0.0,0.08651795
0.0725,0.0,0.0,0.0,0.08919545
0.075,0.0,0.0,0.0,0.09067875
0.0775,0.0,0.0,0.0,0.09095475
0.08,0.0,0.0,0.0,0.090058
0.0825,0.0,0.0,0.0,0.0880792
0.085,0.0,0.0,0.0,0.08517555
0.0875,0.0,0.0,0.0,0.08158335
0.09,0.0,0.0,0.0,0.0776324
0.0925,0.0,0.0,0.0,0.0737673
0.095,0.0,0.0,0.0,0.07057655
0.0975,0.0,0.0,0.0,0.06867515
0.1,0.0,0.0,0.0,0.068117
0.0,0.0025,0.0,0.0,0.0006020269
0.0025,0.0025,8.6927124e-05,-8.607267e-05,7.34431e-06
0.005,0.0025,5.172415e-05,1.2168148e-05,-0.0018244117
0.0075,0.0025,-0.00019702203,0.00017623205,-0.0046933275
0.01,0.0025,-0.00069886754,0.00034971785,-0.008072665
0.0125,0.0025,-0.0014487985,0.00050848525,-0.011468005
0.015,0.0025,-0.0024178051,0.000641894,-0.014503425
0.0175,0.0025,-0.0035660225,0.000745812,-0.0169019
0.02,0.0025,-0.0048490926,0.0008193985,-0.01846755
0.0225,0.0025,-0.0062216124,0.00086343125,-0.019072024
0.025,0.0025,-0.0076392023,0.00087951525,-0.018642476
0.0275,0.0025,-0.00905964,0.00086967973,-0.017151576
0.03,0.0025,-0.010443625,0.0008361685,-0.01460955
0.0325,0.0025,-0.01175522,0.000781338,-0.011057762
0.035,0.0025,-0.012962075,0.0007075968,-0.0065636127
0.0375,0.0025,-0.014035633,0.0006173805,-0.001216325
0.04,0.0025,-0.014951235,0.0005131473,0.004876445
0.0425,0.0025,-0.015688188,0.0003973857,0.011591545
0.045,0.0025,-0.016229896,0.0002726307,0.0187929
0.0475,0.0025,-0.016563967,0.0001414809,0.02633395
0.05,0.0025,-0.016682273,6.617525e-06,0.034060076
0.0525,0.0025,-0.016581222,-0.0001291833,0.041811075
0.055,0.0025,-0.016261797,-0.0002630419,0.0494238
0.0575,0.0025,-0.01572972,-0.00039197644,0.0567353
0.06,0.0025,-0.014995645,-0.000512917,0.06358615
0.0625,0.0025,-0.014075145,-0.000622729,0.06982405
0.065,0.0025,-0.012988835,-0.0007182515,0.0753081
0.0675,0.0025,-0.011762292,-0.0007963498,0.07991335
0.07,0.0025,-0.010425943,-0.00085398275,0.083535776
0.0725,0.0025,-0.00901475,-0.00088828127,0.08609755
0.075,0.0025,-0.0075677475,-0.0008966375,0.08755278
0.0775,0.0025,-0.0061275424,-0.000876818,0.08789367
0.08,0.0025,-0.0047394074,-0.0008271165,0.08715725
0.0825,0.0025,-0.003450065,-0.00074657623,0.085432574
0.085,0.0025,-0.0023060925,-0.00063536025,0.0828692
0.0875,0.0025,-0.001351501,-0.0004955095,0.07968645
0.09,0.0025,-0.000624047,-0.0003325052,0.07618322
0.0925,0.0025,-0.00014880052,-0.00015831013,0.07275135
0.095,0.0025,7.49514e-05,1.9353e-06,0.069890976
0.0975,0.0025,9.361922e-05,9.2367976e-05,0.0681166
0.1,0.0025,0.0,0.0,0.0675598
0.0,0.005,0.0,0.0,0.00257142
0.0025,0.005,-7.336025e-06,-5.27303e-05,0.0018416233
0.005,0.005,-0.0002706131,0.00027641645,-4.4036824e-06
0.0075,0.005,-0.000921989,0.0007526908,-0.0024737571
0.01,0.005,-0.001996465,0.001253759,-0.00524522
0.0125,0.005,-0.003482255,0.001718358,-0.0079883
