"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.18012,0.0034438,0,0.020431,1,0.041,0.05,0.041,0.005
-0.1815,0.0036036,0,0.019738,1,0.0415,0.05,0.0415,0.005
-0.18288,0.0037634,0,0.019044,1,0.042,0.05,0.042,0.005
-0.18427,0.0039231,0,0.018351,1,0.0425,0.05,0.0425,0.005
-0.18565,0.0040829,0,0.017658,1,0.043,0.05,0.043,0.005
-0.18703,0.0042427,0,0.016965,1,0.0435,0.05,0.0435,0.005
-0.18841,0.0044024,0,0.016272,1,0.044,0.05,0.044,0.005
-0.1898,0.0045622,0,0.015579,1,0.0445,0.05,0.0445,0.005
-0.19118,0.004722,0,0.014885,1,0.045,0.05,0.045,0.005
-0.19205,0.0049276,0,0.013979,1,0.0455,0.05,0.0455,0.005
-0.19292,0.0051332,0,0.013072,1,0.046,0.05,0.046,0.005
-0.19379,0.0053387,0,0.012165,1,0.0465,0.05,0.0465,0.005
-0.19466,0.0055443,0,0.011258,1,0.047,0.05,0.047,0.005
-0.19552,0.0057499,0,0.010351,1,0.0475,0.05,0.0475,0.005
-0.19639,0.0059555,0,0.0094444,1,0.048,0.05,0.048,0.005
-0.19726,0.0061611,0,0.0085376,1,0.0485,0.05,0.0485,0.005
-0.19813,0.0063667,0,0.0076308,1,0.049,0.05,0.049,0.005
-0.199,0.0065723,0,0.0067239,1,0.0495,0.05,0.0495,0.005
-0.19987,0.0067779,0,0.0058171,1,0.05,0.05,0.05,0.005
-0.19992,0.0070211,0,0.0046951,1,0.0505,0.05,0.0505,0.005
-0.19997,0.0072643,0,0.003573,1,0.051,0.05,0.051,0.005
-0.20003,0.0075076,0,0.0024509,1,0.0515,0.05,0.0515,0.005
-0.20008,0.0077508,0,0.0013289,1,0.052,0.05,0.052,0.005
-0.20013,0.007994,0,0.00020681,1,0.0525,0.05,0.0525,0.005
-0.20018,0.0082373,0,-0.00091524,1,0.053,0.05,0.053,0.005
-0.20024,0.0084805,0,-0.0020373,1,0.0535,0.05,0.0535,0.005
-0.20029,0.0087237,0,-0.0031594,1,0.054,0.05,0.054,0.005
-0.20034,0.008967,0,-0.0042814,1,0.0545,0.05,0.0545,0.005
-0.20039,0.0092102,0,-0.0054035,1,0.055,0.05,0.055,0.005
-0.19923,0.0094688,0,-0.0067019,1,0.0555,0.05,0.0555,0.005
-0.19806,0.0097275,0,-0.0080003,1,0.056,0.05,0.056,0.005
-0.1969,0.0099861,0,-0.0092987,1,0.0565,0.05,0.0565,0.005
-0.19573,0.010245,0,-0.010597,1,0.057,0.05,0.057,0.005
-0.19457,0.010503,0,-0.011895,1,0.0575,0.05,0.0575,0.005
-0.1934,0.010762,0,-0.013194,1,0.058,0.05,0.058,0.005
-0.19224,0.011021,0,-0.014492,1,0.0585,0.05,0.0585,0.005
-0.19107,0.011279,0,-0.015791,1,0.059,0.05,0.059,0.005
-0.18991,0.011538,0,-0.017089,1,0.0595,0.05,0.0595,0.005
-0.18874,0.011797,0,-0.018387,1,0.06,0.05,0.06,0.005
-0.18585,0.012031,0,-0.019765,1,0.0605,0.05,0.0605,0.005
-0.18296,0.012266,0,-0.021143,1,0.061,0.05,0.061,0.005
-0.18007,0.0125,0,-0.022521,1,0.0615,0.05,0.0615,0.005
-0.17717,0.012735,0,-0.023898,1,0.062,0.05,0.062,0.005
-0.17428,0.012969,0,-0.025276,1,0.0625,0.05,0.0625,0.005
-0.17139,0.013204,0,-0.026654,1,0.063,0.05,0.063,0.005
-0.1685,0.013438,0,-0.028031,1,0.0635,0.05,0.0635,0.005
-0.16561,0.013673,0,-0.029409,1,0.064,0.05,0.064,0.005
-0.16272,0.013907,0,-0.030787,1,0.0645,0.05,0.0645,0.005
-0.15982,0.014142,0,-0.032164,1,0.065,0.05,0.065,0.005
-0.1546,0.014296,0,-0.033457,1,0.0655,0.05,0.0655,0.005
-0.14937,0.014451,0,-0.03475,1,0.066,0.05,0.066,0.005
-0.14415,0.014606,0,-0.036043,1,0.0665,0.05,0.0665,0.005
-0.13892,0.01476,0,-0.037335,1,0.067,0.05,0.067,0.005
-0.1337,0.014915,0,-0.038628,1,0.0675,0.05,0.0675,0.005
-0.12847,0.01507,0,-0.039921,1,0.068,0.05,0.068,0.005
-0.12325,0.015224,0,-0.041214,1,0.0685,0.05,0.0685,0.005
-0.11802,0.015379,0,-0.042507,1,0.069,0.05,0.069,0.005
-0.11279,0.015534,0,-0.043799,1,0.0695,0.05,0.0695,0.005
-0.10757,0.015688,0,-0.045092,1,0.07,0.05,0.07,0.005
-0.099331,0.0157,0,-0.046083,1,0.0705,0.05,0.0705,0.005
-0.091092,0.015713,0,-0.047073,1,0.071,0.05,0.071,0.005
-0.082853,0.015725,0,-0.048064,1,0.0715,0.05,0.0715,0.005
-0.074615,0.015737,0,-0.049055,1,0.072,0.05,0.072,0.005
-0.066376,0.015749,0,-0.050045,1,0.0725,0.05,0.0725,0.005
-0.058137,0.015761,0,-0.051036,1,0.073,0.05,0.073,0.005
-0.049899,0.015773,0,-0.052026,1,0.0735,0.05,0.0735,0.005
-0.04166,0.015786,0,-0.053017,1,0.074,0.05,0.074,0.005
-0.033421,0.015798,0,-0.054007,1,0.0745,0.05,0.0745,0.005
-0.025183,0.01581,0,-0.054998,1,0.075,0.05,0.075,0.005
-0.013243,0.015631,0,-0.055473,1,0.0755,0.05,0.0755,0.005
-0.0013038,0.015453,0,-0.055947,1,0.076,0.05,0.076,0.005
0.010636,0.015274,0,-0.056422,1,0.0765,0.05,0.0765,0.005
