x,y,u,v,p
0.0,0.0,0.0,0.0,-4.09128e-06
0.0025,0.0,0.0,0.0,-0.0006013556
0.005,0.0,0.0,0.0,-0.002564815
0.0075,0.0,0.0,0.0,-0.005768565
0.01,0.0,0.0,0.0,-0.00957916
0.0125,0.0,0.0,0.0,-0.0134129
0.015,0.0,0.0,0.0,-0.016843
0.0175,0.0,0.0,0.0,-0.01956435
0.02,0.0,0.0,0.0,-0.021367
0.0225,0.0,0.0,0.0,-0.02211735
0.025,0.0,0.0,0.0,-0.0217427
0.0275,0.0,0.0,0.0,-0.0202191
0.03,0.0,0.0,0.0,-0.0175623
0.0325,0.0,0.0,0.0,-0.0138206
0.035,0.0,0.0,0.0,-0.00906913
0.0375,0.0,0.0,0.0,-0.0034054136
0.04,0.0,0.0,0.0,0.0030541616
0.0425,0.0,0.0,0.0,0.010177395
0.045,0.0,0.0,0.0,0.01781895
0.0475,0.0,0.0,0.0,0.0258226
0.05,0.0,0.0,0.0,0.0340238
0.0525,0.0,0.0,0.0,0.04225215
0.055,0.0,0.0,0.0,0.050334
0.0575,0.0,0.0,0.0,0.0580957
0.06,0.0,0.0,0.0,0.0653669
0.0625,0.0,0.0,0.0,0.07198455
0.065,0.0,0.0,0.0,0.07779705
0.0675,0.0,0.0,0.0,0.08266905
0.07,0.0,0.0,0.0,0.08648675
0.0725,0.0,0.0,0.0,0.0891636
0.075,0.0,0.0,0.0,0.09064645
0.0775,0.0,0.0,0.0,0.09092215
0.08,0.0,0.0,0.0,0.0900252
0.0825,0.0,0.0,0.0,0.08804635
0.085,0.0,0.0,0.0,0.08514285
0.0875,0.0,0.0,0.0,0.08155095
0.09,0.0,0.0,0.0,0.07760045
0.0925,0.0,0.0,0.0,0.0737359
0.095,0.0,0.0,0.0,0.0705457
0.0975,0.0,0.0,0.0,0.0686447
0.1,0.0,0.0,0.0,0.0680867
0.0,0.0025,0.0,0.0,0.00058874435
0.0025,0.0025,8.716685e-05,-8.582982e-05,-7.876245e-06
0.005,0.0025,5.1995074e-05,1.22932925e-05,-0.0018419559
0.0075,0.0025,-0.00019677916,0.000176259,-0.0047112424
0.01,0.0025,-0.0006985817,0.0003496875,-0.0080905
0.0125,0.0025,-0.0014484148,0.0005084195,-0.011485715
0.015,0.0025,-0.002417291,0.000641808,-0.014521
0.0175,0.0025,-0.0035653524,0.00074571377,-0.01691935
0.02,0.0025,-0.004848255,0.0008192912,-0.018484974
0.0225,0.0025,-0.0062206076,0.0008633208,-0.01908955
0.025,0.0025,-0.007638015,0.000879405,-0.01866025
0.0275,0.0025,-0.009058283,0.00086957,-0.0171697
0.03,0.0025,-0.010442095,0.000836062,-0.01462805
0.0325,0.0025,-0.01175352,0.00078123977,-0.011076715
0.035,0.0025,-0.012960235,0.0007075067,-0.0065830876
0.0375,0.0025,-0.014033655,0.000617297,-0.0012363843
0.04,0.0025,-0.014949122,0.0005130718,0.0048557105
0.0425,0.0025,-0.015685968,0.0003973197,0.011570048
0.045,0.0025,-0.016227575,0.00027257585,0.0187706
0.0475,0.0025,-0.016561555,0.00014143932,0.026310826
0.05,0.0025,-0.01667982,6.590075e-06,0.0340361
0.0525,0.0025,-0.016578732,-0.00012919553,0.041786224
0.055,0.0025,-0.016259305,-0.0002630377,0.049398076
0.0575,0.0025,-0.015727285,-0.0003919553,0.056708675
