"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.034048,1,0,0.05,0,0.005
-0.0033365,1.3235e-06,0,0.03405,1,0.0005,0.05,0.0005,0.005
-0.0066729,2.647e-06,0,0.034053,1,0.001,0.05,0.001,0.005
-0.010009,3.9705e-06,0,0.034055,1,0.0015,0.05,0.0015,0.005
-0.013346,5.294e-06,0,0.034058,1,0.002,0.05,0.002,0.005
-0.016682,6.6175e-06,0,0.03406,1,0.0025,0.05,0.0025,0.005
-0.019676,8.7887e-06,0,0.034062,1,0.003,0.05,0.003,0.005
-0.022669,1.096e-05,0,0.034063,1,0.0035,0.05,0.0035,0.005
-0.025662,1.3131e-05,0,0.034065,1,0.004,0.05,0.004,0.005
-0.028656,1.5302e-05,0,0.034066,1,0.0045,0.05,0.0045,0.005
-0.031649,1.7473e-05,0,0.034068,1,0.005,0.05,0.005,0.005
-0.034377,2.0395e-05,0,0.034062,1,0.0055,0.05,0.0055,0.005
-0.037105,2.3317e-05,0,0.034056,1,0.006,0.05,0.006,0.005
-0.039833,2.6238e-05,0,0.03405,1,0.0065,0.05,0.0065,0.005
-0.04256,2.916e-05,0,0.034044,1,0.007,0.05,0.007,0.005
-0.045288,3.2082e-05,0,0.034039,1,0.0075,0.05,0.0075,0.005
-0.047811,3.5551e-05,0,0.034023,1,0.008,0.05,0.008,0.005
-0.050333,3.9021e-05,0,0.034008,1,0.0085,0.05,0.0085,0.005
-0.052856,4.249e-05,0,0.033993,1,0.009,0.05,0.009,0.005
-0.055379,4.596e-05,0,0.033978,1,0.0095,0.05,0.0095,0.005
-0.057901,4.9429e-05,0,0.033963,1,0.01,0.05,0.01,0.005
-0.060267,5.3764e-05,0,0.033935,1,0.0105,0.05,0.0105,0.005
-0.062632,5.8099e-05,0,0.033908,1,0.011,0.05,0.011,0.005
-0.064998,6.2435e-05,0,0.033881,1,0.0115,0.05,0.0115,0.005
-0.067363,6.677e-05,0,0.033853,1,0.012,0.05,0.012,0.005
-0.069729,7.1105e-05,0,0.033826,1,0.0125,0.05,0.0125,0.005
-0.071977,7.7033e-05,0,0.033783,1,0.013,0.05,0.013,0.005
-0.074225,8.2962e-05,0,0.03374,1,0.0135,0.05,0.0135,0.005
-0.076472,8.8891e-05,0,0.033697,1,0.014,0.05,0.014,0.005
-0.07872,9.4819e-05,0,0.033654,1,0.0145,0.05,0.0145,0.005
-0.080968,0.00010075,0,0.03361,1,0.015,0.05,0.015,0.005
-0.08313,0.00010934,0,0.033547,1,0.0155,0.05,0.0155,0.005
-0.085292,0.00011793,0,0.033484,1,0.016,0.05,0.016,0.005
-0.087453,0.00012652,0,0.03342,1,0.0165,0.05,0.0165,0.005
-0.089615,0.00013511,0,0.033357,1,0.017,0.05,0.017,0.005
-0.091777,0.0001437,0,0.033294,1,0.0175,0.05,0.0175,0.005
-0.093877,0.00015635,0,0.033205,1,0.018,0.05,0.018,0.005
-0.095977,0.000169,0,0.033116,1,0.0185,0.05,0.0185,0.005
-0.098077,0.00018165,0,0.033028,1,0.019,0.05,0.019,0.005
-0.10018,0.0001943,0,0.032939,1,0.0195,0.05,0.0195,0.005
-0.10228,0.00020695,0,0.032851,1,0.02,0.05,0.02,0.005
-0.10433,0.00022537,0,0.032731,1,0.0205,0.05,0.0205,0.005
-0.10639,0.00024378,0,0.032611,1,0.021,0.05,0.021,0.005
-0.10845,0.0002622,0,0.032492,1,0.0215,0.05,0.0215,0.005
-0.1105,0.00028062,0,0.032372,1,0.022,0.05,0.022,0.005
-0.11256,0.00029903,0,0.032253,1,0.0225,0.05,0.0225,0.005
-0.11458,0.00032522,0,0.032096,1,0.023,0.05,0.023,0.005
-0.11661,0.0003514,0,0.031939,1,0.0235,0.05,0.0235,0.005
-0.11863,0.00037758,0,0.031782,1,0.024,0.05,0.024,0.005
-0.12065,0.00040376,0,0.031625,1,0.0245,0.05,0.0245,0.005
-0.12268,0.00042994,0,0.031468,1,0.025,0.05,0.025,0.005
-0.12467,0.00046614,0,0.031266,1,0.0255,0.05,0.0255,0.005
-0.12667,0.00050234,0,0.031065,1,0.026,0.05,0.026,0.005
-0.12867,0.00053853,0,0.030863,1,0.0265,0.05,0.0265,0.005
-0.13067,0.00057473,0,0.030662,1,0.027,0.05,0.027,0.005
-0.13266,0.00061093,0,0.03046,1,0.0275,0.05,0.0275,0.005
-0.13463,0.00065961,0,0.030206,1,0.028,0.05,0.028,0.005
-0.1366,0.00070828,0,0.029952,1,0.0285,0.05,0.0285,0.005
-0.13857,0.00075696,0,0.029698,1,0.029,0.05,0.029,0.005
-0.14054,0.00080564,0,0.029444,1,0.0295,0.05,0.0295,0.005
-0.14251,0.00085431,0,0.029189,1,0.03,0.05,0.03,0.005
-0.14444,0.00091807,0,0.028874,1,0.0305,0.05,0.0305,0.005
-0.14638,0.00098183,0,0.028559,1,0.031,0.05,0.031,0.005
-0.14831,0.0010456,0,0.028243,1,0.0315,0.05,0.0315,0.005
